created_at,raw_text,likes_count,reply_count,source,is_spam,clean_text,normalized_text,final_text,text_length,word_count,clean_text_length,clean_word_count
2026-03-22T15:12:08.000Z,Kepala keras sekali,363,25.0,tiktok,False,kepala keras,kepala keras sekali,kepala keras,19.0,3.0,12,2
2026-03-22T14:11:32.000Z,"Proyeknya beliau, tidak mungkin beliau menghentikan MBG😅",1001,29.0,tiktok,False,"proyeknya beliau, tidak mungkin beliau menghentikan makan bergizi gratis","proyeknya beliau, tidak mungkin beliau menghentikan makan bergizi gratis","proyeknya beliau, tidak mungkin beliau menghentikan makan bergizi gratis",56.0,7.0,72,9
2026-03-24T01:53:14.000Z,"dan anehnya kita yg minta MBG distop malah dicap negatif, padahal membantu pemerintah yg sedang efisiensi",4,0.0,tiktok,False,"anehnya makan bergizi gratis distop dicap negatif, membantu pemerintah efisiensi","dan anehnya kita yg minta makan bergizi gratis distop malah dicap negatif, padahal membantu pemerintah yg sedang efisiensi","anehnya makan bergizi gratis distop dicap negatif, membantu pemerintah efisiensi",105.0,16.0,80,10
2026-03-22T13:19:14.000Z,"hentikan aj pak
mending dialihkan ke program beasiswa kuliah gratis 🙏",1886,63.0,tiktok,False,hentikan mending dialihkan program beasiswa kuliah gratis,hentikan saja pak mending dialihkan ke program beasiswa kuliah gratis,hentikan mending dialihkan program beasiswa kuliah gratis,69.0,11.0,57,7
2026-03-22T14:01:13.000Z,"Susah sekali bapak Presiden ini di kritiknya, padahal banyak sekali masyarakat dan tokoh nasional minta di hentikan program MBG nya tuuk di evaluasi",2375,20.0,tiktok,False,"susah presiden kritiknya, masyarakat tokoh nasional hentikan program makan bergizi gratis nya tuuk evaluasi","susah sekali bapak presiden ini di kritiknya, padahal banyak sekali masyarakat dan tokoh nasional minta di hentikan program makan bergizi gratis nya tuuk di evaluasi","susah presiden kritiknya, masyarakat tokoh nasional hentikan program makan bergizi gratis nya tuuk evaluasi",148.0,23.0,107,14
2026-03-22T14:54:57.000Z,cukup satu periode,791,55.0,tiktok,False,periode,cukup satu periode,periode,18.0,3.0,7,1
2026-03-22T22:25:43.000Z,siapa yg setuju MBG distop?,2696,20.0,tiktok,False,setuju makan bergizi gratis distop?,siapa yg setuju makan bergizi gratis distop?,setuju makan bergizi gratis distop?,27.0,5.0,35,5
2026-03-24T05:47:13.000Z,"Entah apa guna MBG, gak mendesak sama sekali",2,1.0,tiktok,False,"makan bergizi gratis, tidak mendesak","entah apa guna makan bergizi gratis, tidak mendesak sama sekali","makan bergizi gratis, tidak mendesak",44.0,8.0,36,5
2026-03-23T01:10:34.000Z,MBG itu program bancakan utk 2029 jd jgn harap mau di stop.,62,3.0,tiktok,False,makan bergizi gratis program bancakan jd jangan harap stop.,makan bergizi gratis itu program bancakan untuk jd jangan harap mau di stop.,makan bergizi gratis program bancakan jd jangan harap stop.,59.0,12.0,59,9
2026-03-23T00:56:54.000Z,di pikir mbg tdk ada yg korupsi,540,13.0,tiktok,False,pikir makan bergizi gratis tdk korupsi,di pikir makan bergizi gratis tdk ada yg korupsi,pikir makan bergizi gratis tdk korupsi,31.0,7.0,38,6
2026-03-22T15:22:39.000Z,angel.. angel,6,0.0,tiktok,False,angel.. angel,angel.. angel,angel.. angel,13.0,2.0,13,2
2026-03-23T22:41:39.000Z,Segitunya membela MBG pak presiden,5,2.0,tiktok,False,segitunya membela makan bergizi gratis presiden,segitunya membela makan bergizi gratis pak presiden,segitunya membela makan bergizi gratis presiden,34.0,5.0,47,6
