text,likesCount,is_spam,text_clean,text_normalized,text_final,text_length,text_word_count,clean_text_length,clean_text_word_count
"TOLONG BANTU WARGA KALTIM PERIHAL 
POLITIK DINASTI KALTIM YANG AROGAN DAN ANTI KRITIK

GUBERNUR rudy mas’ud

KETUA DPRD KALTIM hasanuddin mas’ud 

WALIKOTA BALIKPAPAN Rahmad mas’ud

ANGGOTA KOMISI VI DPR RI Sarifah suraidah (istri Rudy mas’ud)
KETUA KORMI sarifah suraidah (istri rudy mas’ud)
Ketua Tim Penggerak PKK Provinsi Kaltim , Bunda PAUD, Ketua Dekranasda, Bunda Literasi Provinsi Kalimantan Timur SARIFAH SURAIDAH

ANGGOTA DPRD KALTIM DAPIL PPU :Syahariah mas’ud

MANTAN BUPATI PASER : ghafur mas’ud (OTT KPK)

WAKIL KETUA 1 TAGUPP KALTIM Hijrah Mas’ud (adik gubernur) 

DIRUT RSUD beriman Bpp Ifransyah(suami hijrah mas’ud)

KETUA UMUM DPP HIMAD KALTIM : Edy Sakassa (suami Yuliana mas’ud)

KETUA Dprd balikpapan : Alwi 
(sepupu gubernur)

KABAG TU biro umum kaltim : ASMA 
(Kakak nya sarifah suraidah istri gubernur)

KABID RSUD AWS KALTIM : SYAHRIR (suami dr asma kakak istri nya gubernur)

KETUA KADIN KALTIM : Putri amanda 
(Keponakan dr gubernur )

PENGURUS KADIN KALTIM : Syahrah
(Anak gubernur kaltim)

CALON KETUA KONI KALTIM : ya pastinya BANI MAS’ud ) antara Syahariah mas’ud / ALWI 

BEBERAPA JABATAN LAINYA YANG D BERIKAN KEPADA PARA INFLUENCER serta MEDIA MEDIA LOKAL yang jadi garda terdepan pencitraan gubernur yg d bungkam dengan jabatan",305,False,"tolong bantu warga kaltim perihal politik dinasti kaltim arogan anti kritik gubernur rudy mas’ud ketua dprd kaltim hasanuddin mas’ud walikota balikpapan rahmad mas’ud anggota komisi vi dpr ri sarifah suraidah (istri rudy mas’ud) ketua kormi sarifah suraidah (istri rudy mas’ud) ketua tim penggerak pkk provinsi kaltim , bunda paud, ketua dekranasda, bunda literasi provinsi kalimantan timur sarifah suraidah anggota dprd kaltim dapil ppu :syahariah mas’ud mantan bupati paser : ghafur mas’ud (ott kpk) wakil ketua tagupp kaltim hijrah mas’ud (adik gubernur) dirut rsud beriman bpp ifransyah(suami hijrah mas’ud) ketua dpp himad kaltim : edy sakassa (suami yuliana mas’ud) ketua dprd balikpapan : alwi (sepupu gubernur) kabag tu biro kaltim : asma (kakak nya sarifah suraidah istri gubernur) kabid rsud aws kaltim : syahrir (suami asma istri nya gubernur) ketua kadin kaltim : putri amanda (keponakan gubernur ) pengurus kadin kaltim : syahrah (anak gubernur kaltim) calon ketua koni kaltim : pastinya bani mas’ud ) syahariah mas’ud / alwi jabatan lainya d influencer media media lokal garda terdepan pencitraan gubernur d bungkam jabatan","tolong bantu warga kaltim perihal politik dinasti kaltim yang arogan dan anti kritik gubernur rudy mas’ud ketua dprd kaltim hasanuddin mas’ud walikota balikpapan rahmad mas’ud anggota komisi vi dpr ri sarifah suraidah (istri rudy mas’ud) ketua kormi sarifah suraidah (istri rudy mas’ud) ketua tim penggerak pkk provinsi kaltim , bunda paud, ketua dekranasda, bunda literasi provinsi kalimantan timur sarifah suraidah anggota dprd kaltim dapil ppu :syahariah mas’ud mantan bupati paser : ghafur mas’ud (ott kpk) wakil ketua tagupp kaltim hijrah mas’ud (adik gubernur) dirut rsud beriman bpp ifransyah(suami hijrah mas’ud) ketua umum dpp himad kaltim : edy sakassa (suami yuliana mas’ud) ketua dprd balikpapan : alwi (sepupu gubernur) kabag tu biro umum kaltim : asma (kakak nya sarifah suraidah istri gubernur) kabid rsud aws kaltim : syahrir (suami dari asma kakak istri nya gubernur) ketua kadin kaltim : putri amanda (keponakan dari gubernur ) pengurus kadin kaltim : syahrah (anak gubernur kaltim) calon ketua koni kaltim : iya pastinya bani mas’ud ) antara syahariah mas’ud / alwi beberapa jabatan lainya yang d berikan kepada para influencer serta media media lokal yang jadi garda terdepan pencitraan gubernur yg d bungkam dengan jabatan","tolong bantu warga kaltim perihal politik dinasti kaltim arogan anti kritik gubernur rudy mas’ud ketua dprd kaltim hasanuddin mas’ud walikota balikpapan rahmad mas’ud anggota komisi vi dpr ri sarifah suraidah (istri rudy mas’ud) ketua kormi sarifah suraidah (istri rudy mas’ud) ketua tim penggerak pkk provinsi kaltim , bunda paud, ketua dekranasda, bunda literasi provinsi kalimantan timur sarifah suraidah anggota dprd kaltim dapil ppu :syahariah mas’ud mantan bupati paser : ghafur mas’ud (ott kpk) wakil ketua tagupp kaltim hijrah mas’ud (adik gubernur) dirut rsud beriman bpp ifransyah(suami hijrah mas’ud) ketua dpp himad kaltim : edy sakassa (suami yuliana mas’ud) ketua dprd balikpapan : alwi (sepupu gubernur) kabag tu biro kaltim : asma (kakak nya sarifah suraidah istri gubernur) kabid rsud aws kaltim : syahrir (suami asma istri nya gubernur) ketua kadin kaltim : putri amanda (keponakan gubernur ) pengurus kadin kaltim : syahrah (anak gubernur kaltim) calon ketua koni kaltim : pastinya bani mas’ud ) syahariah mas’ud / alwi jabatan lainya d influencer media media lokal garda terdepan pencitraan gubernur d bungkam jabatan",1263,192,1137,172
"MBG, Koperasi Merah Putih dan gentengisasi hanya menambah beban fiskal, uangnya ga berputar di kelompok bawah. Yang menikmati hanya kalangan tertentu, dan mereka lebih banyak saving money sehingga roda ekonomi ga jalan.",4843,False,"mbg, koperasi merah putih gentengisasi menambah beban fiskal, uangnya berputar kelompok bawah. menikmati kalangan tertentu, saving money roda ekonomi jalan.","mbg, koperasi merah putih dan gentengisasi hanya menambah beban fiskal, uangnya tidak berputar di kelompok bawah. yang menikmati hanya kalangan tertentu, dan mereka lebih banyak saving money sehingga roda ekonomi tidak jalan.","mbg, koperasi merah putih gentengisasi menambah beban fiskal, uangnya berputar kelompok bawah. menikmati kalangan tertentu, saving money roda ekonomi jalan.",219,32,156,20
"Izin bang komentar terkait ""MBG programm ineffeciancy"", izin nih MBG ada perputaran ekonomi nya yang bikin sektor rill dan ekonomi menengah kebawah masih berputar dan kuat, kalo kita bahas anggaran MBG memang terbilang besar tapi kalau dibilang ineffeciancy itu ngga juga karena pasar domestik kita juga yang membantu tatanan ekonomi Indonesia ini, karena kita juga tau kalau mayoritas penduduk Indonesia itu ekonomi kebawah jadi seengaknya ada terbantu dari program ini entah dari lapangan pekerjaan nya maupun manfaat nya. Jadi kurang tepat kalau dibilang ineffeciancy karena bang Ferry punya prespektif kontra. Dan anggaran itu juga ga menguap begitu saja karena ada wujud nya ketimbang anggaran tahun tahun sebelumnya yang ga ada MBG, dan program ini terbilang baru jadi wajar ada extended dipembiayaan nya, dan anggaran MBG juga diambil sebagian dari effeciancy anggaran negara untuk pembiayaan yang kurang bagus dampak langsung nya ke rakyat. (Maaf mungkin agak belibet, tapi yang mau saya tekankan untuk program MBG yang Abang bilang ineffeciancy menurut ku kurang tepat aja, karena sektor rill di program ini secara ekonomi nya juga berputar dan banyak yang merasakan, mungkin ada bocor bocor ke kantong tapi saya yakin mayoritas masih sangat kredible buat jalanin jadi Mitra SPPG, Dan ini jadi salah satu katalis kenapa disaat seperti ini Indonesia jadi salah satu negara aman ketika jadi perang, karena dari segi ekonomi lingkup kecil nya cukup aktif dan ada perputaran, ditambah Amit"" kalo kejadian perang, dapur SPPG bisa jadi area supply makanan layaknya bencana di Sumatra beberapa waktu lalu)🫸",30,False,"izin bang komentar terkait ""mbg programm ineffeciancy"", izin makan bergizi gratis perputaran ekonomi nya bikin sektor rill ekonomi menengah kebawah berputar kuat, bahas anggaran makan bergizi gratis terbilang dibilang ineffeciancy ngga pasar domestik membantu tatanan ekonomi indonesia ini, tau mayoritas penduduk indonesia ekonomi kebawah seengaknya terbantu program lapangan pekerjaan nya manfaat nya. dibilang ineffeciancy bang ferry prespektif kontra. anggaran menguap wujud nya ketimbang anggaran mbg, program terbilang wajar extended dipembiayaan nya, anggaran makan bergizi gratis diambil effeciancy anggaran negara pembiayaan bagus dampak langsung nya rakyat. (maaf belibet, tekankan program makan bergizi gratis abang bilang ineffeciancy ku aja, sektor rill program ekonomi nya berputar merasakan, bocor bocor kantong mayoritas kredible jalanin mitra sppg, salah katalis disaat indonesia salah negara aman perang, segi ekonomi lingkup nya aktif perputaran, ditambah amit"" kejadian perang, dapur sppg area supply makanan layaknya bencana sumatra lalu)🫸","izin bang komentar terkait ""mbg programm ineffeciancy"", izin ini makan bergizi gratis ada perputaran ekonomi nya yang bikin sektor rill dan ekonomi menengah kebawah masih berputar dan kuat, kalau kita bahas anggaran makan bergizi gratis memang terbilang besar tapi kalau dibilang ineffeciancy itu ngga juga karena pasar domestik kita juga yang membantu tatanan ekonomi indonesia ini, karena kita juga tau kalau mayoritas penduduk indonesia itu ekonomi kebawah jadi seengaknya ada terbantu dari program ini entah dari lapangan pekerjaan nya maupun manfaat nya. jadi kurang tepat kalau dibilang ineffeciancy karena bang ferry punya prespektif kontra. dan anggaran itu juga tidak menguap begitu saja karena ada wujud nya ketimbang anggaran tahun tahun sebelumnya yang tidak ada mbg, dan program ini terbilang baru jadi wajar ada extended dipembiayaan nya, dan anggaran makan bergizi gratis juga diambil sebagian dari effeciancy anggaran negara untuk pembiayaan yang kurang bagus dampak langsung nya ke rakyat. (maaf mungkin agak belibet, tapi yang mau saya tekankan untuk program makan bergizi gratis yang abang bilang ineffeciancy menurut ku kurang tepat aja, karena sektor rill di program ini secara ekonomi nya juga berputar dan banyak yang merasakan, mungkin ada bocor bocor ke kantong tapi saya yakin mayoritas masih sangat kredible buat jalanin jadi mitra sppg, dan ini jadi salah satu katalis kenapa disaat seperti ini indonesia jadi salah satu negara aman ketika jadi perang, karena dari segi ekonomi lingkup kecil nya cukup aktif dan ada perputaran, ditambah amit"" kalau kejadian perang, dapur sppg bisa jadi area supply makanan layaknya bencana di sumatra beberapa waktu lalu)🫸","izin bang komentar terkait ""mbg programm ineffeciancy"", izin makan bergizi gratis perputaran ekonomi nya bikin sektor rill ekonomi menengah kebawah berputar kuat, bahas anggaran makan bergizi gratis terbilang dibilang ineffeciancy ngga pasar domestik membantu tatanan ekonomi indonesia ini, tau mayoritas penduduk indonesia ekonomi kebawah seengaknya terbantu program lapangan pekerjaan nya manfaat nya. dibilang ineffeciancy bang ferry prespektif kontra. anggaran menguap wujud nya ketimbang anggaran mbg, program terbilang wajar extended dipembiayaan nya, anggaran makan bergizi gratis diambil effeciancy anggaran negara pembiayaan bagus dampak langsung nya rakyat. (maaf belibet, tekankan program makan bergizi gratis abang bilang ineffeciancy ku aja, sektor rill program ekonomi nya berputar merasakan, bocor bocor kantong mayoritas kredible jalanin mitra sppg, salah katalis disaat indonesia salah negara aman perang, segi ekonomi lingkup nya aktif perputaran, ditambah amit"" kejadian perang, dapur sppg area supply makanan layaknya bencana sumatra lalu)🫸",1608,246,1060,139
"akhirnya nemu jg org yg nulisnya normal, bkn memperkeruh. Mantap bang teruskan😭👍",2359,False,"nemu org nulisnya normal, bkn memperkeruh. mantap bang teruskan","akhirnya nemu juga org yg nulisnya normal, bkn memperkeruh. mantap bang teruskan","nemu org nulisnya normal, bkn memperkeruh. mantap bang teruskan",80,12,63,9
Capek bngt liat MBG,2880,False,capek bngt liat makan bergizi gratis,capek bngt liat makan bergizi gratis,capek bngt liat makan bergizi gratis,19,4,36,6
"Udah ngomong panjang x lebar, pake data, analisis, dirangkumin, dikasih masukan lagi. Yuk bisa yuk didenger jangan dibilang antek antek asenk @prabowo @presidenrepublikindonesia @gerindra @gibran_rakabuming",1457,False,"udah ngomong x lebar, pake data, analisis, dirangkumin, dikasih masukan lagi. ayo ayo didenger dibilang antek antek asenk","udah ngomong panjang x lebar, pake data, analisis, dirangkumin, dikasih masukan lagi. ayo bisa ayo didenger jangan dibilang antek antek asenk","udah ngomong x lebar, pake data, analisis, dirangkumin, dikasih masukan lagi. ayo ayo didenger dibilang antek antek asenk",206,25,121,18
"MBG itu gk darurat, tolong lah, kalau mau mencegah stunting, perbanyak edukasi Ibu hamil dan gizi Ibu hamil. Kalau banyak anak dari ekonomi bawah yg butuh, utamakan mereka aja.  Ciptakan lapangan kerja, naikkan gaji para pekerja. mBG bukan solusi, gimana bisa dengan kasih makan sekali sehari gizi anak2 akan lebih baik? Di tambah kita lihat di lapangan menu yg di kasih sangat jauh dari nilai gizi yg di butuhkan. Ayolah pak @presidenrepublikindonesia  @prabowo  @gerindra  @teddy_hq  @gibran_rakabuming  jangan egois, jangan menutup mata, jangan arogan, g usah malu mengakui bahwa program ini memang gagal dan hanya jadi lahan korupsi yg tersistematis. Rakyat akan lebih bangga terhadap kalau Bapak mau mengakui dan mendengar keluhan rakyat. Katanya Bapak cinta rakyat, mana buktinya?",1023,False,"makan bergizi gratis darurat, tolong lah, mencegah stunting, perbanyak edukasi hamil gizi hamil. anak ekonomi butuh, utamakan aja. ciptakan lapangan kerja, naikkan gaji pekerja. makan bergizi gratis solusi, gimana kasih makan sehari gizi anak baik? lihat lapangan menu kasih nilai gizi butuhkan. ayolah egois, menutup mata, arogan, g malu mengakui program gagal lahan korupsi tersistematis. rakyat bangga mengakui mendengar keluhan rakyat. cinta rakyat, buktinya?","makan bergizi gratis itu gk darurat, tolong lah, kalau mau mencegah stunting, perbanyak edukasi ibu hamil dan gizi ibu hamil. kalau banyak anak dari ekonomi bawah yg butuh, utamakan mereka aja. ciptakan lapangan kerja, naikkan gaji para pekerja. makan bergizi gratis bukan solusi, gimana bisa dengan kasih makan sekali sehari gizi anak akan lebih baik? di tambah kita lihat di lapangan menu yg di kasih sangat jauh dari nilai gizi yg di butuhkan. ayolah pak jangan egois, jangan menutup mata, jangan arogan, g usah malu mengakui bahwa program ini memang gagal dan hanya jadi lahan korupsi yg tersistematis. rakyat akan lebih bangga terhadap kalau bapak mau mengakui dan mendengar keluhan rakyat. katanya bapak cinta rakyat, mana buktinya?","makan bergizi gratis darurat, tolong lah, mencegah stunting, perbanyak edukasi hamil gizi hamil. anak ekonomi butuh, utamakan aja. ciptakan lapangan kerja, naikkan gaji pekerja. makan bergizi gratis solusi, gimana kasih makan sehari gizi anak baik? lihat lapangan menu kasih nilai gizi butuhkan. ayolah egois, menutup mata, arogan, g malu mengakui program gagal lahan korupsi tersistematis. rakyat bangga mengakui mendengar keluhan rakyat. cinta rakyat, buktinya?",786,118,463,64
"Zaman SBY kita sering bgt tum kena gejolak Minyak Dunia. Dinamika nya sempet panas, tapi karena Kebijakan nya Pro-Growth dan penuh kehati-hatian, jadi Masyarakat ga terlalu kena dampaknya. Ekonomi ttep tumbuh bahkan nyentuh 6% di 2011. Pendapatnya tum @irwandiferry",640,False,"zaman sby tum kena gejolak minyak dunia. dinamika nya sempet panas, kebijakan nya pro-growth penuh kehati-hatian, masyarakat kena dampaknya. ekonomi ttep tumbuh nyentuh % . pendapatnya tum","zaman sby kita sering banget tum kena gejolak minyak dunia. dinamika nya sempet panas, tapi karena kebijakan nya pro-growth dan penuh kehati-hatian, jadi masyarakat tidak terlalu kena dampaknya. ekonomi ttep tumbuh bahkan nyentuh % di . pendapatnya tum","zaman sby tum kena gejolak minyak dunia. dinamika nya sempet panas, kebijakan nya pro-growth penuh kehati-hatian, masyarakat kena dampaknya. ekonomi ttep tumbuh nyentuh % . pendapatnya tum",265,39,188,27
"Gapapa Bang, rakyat besok” kayanya kemana” baik kuda atau karpet terbang. Yang penting MBG tetap jalan 😅",114,False,"gapapa bang, rakyat besok” kayanya kemana” kuda karpet terbang. makan bergizi gratis jalan","gapapa bang, rakyat besok” kayanya kemana” baik kuda atau karpet terbang. yang penting makan bergizi gratis tetap jalan","gapapa bang, rakyat besok” kayanya kemana” kuda karpet terbang. makan bergizi gratis jalan",104,17,90,13
"MBG libur dulu Napa, puasa juga kan",161,False,"makan bergizi gratis libur napa, puasa","makan bergizi gratis libur dulu napa, puasa juga kan","makan bergizi gratis libur napa, puasa",35,7,38,6
