comment_id,text,author,likes_count,published_at,updated_at,reply_count,is_reply,parent_id,video_id,source
UgzY0dDeSE6uPXpq5Tx4AaABAg,"Jelas keliatan banget, mash soal Asal Bapak Senang "" dia hanya melihat stunting, tapi yg keracunan di diamkan, semacam "" korban jdi tersangka, yg maling tetap Benar """,@Felix_Bro-e9j,68,2026-03-21T03:52:43Z,2026-03-21T03:52:43Z,10,False,,S4iey1sr1Cg,youtube
UgzY0dDeSE6uPXpq5Tx4AaABAg.AUaxsAK08atAUb0s0HP-H7,Padahal stunting hanya bisa di cegah dr kandungan sampai   batita 3 tahun,@DoraJarajakabw,8,2026-03-21T04:27:39Z,2026-03-21T04:27:39Z,0,True,UgzY0dDeSE6uPXpq5Tx4AaABAg,S4iey1sr1Cg,youtube
UgzY0dDeSE6uPXpq5Tx4AaABAg.AUaxsAK08atAUbQmS81sh3,"​@DoraJarajakabw betul. Lebih bener program jokowi dulu PMT untuk balita stunting, lewat kader posyandu jd yg diberi bisa tepat sasaran krn di posyandu akan tau mana anak stunting dan tdk. Yg masak kader posyandu ya tinggal diberi penyuluhan lg dan diawasi biar masaknya bener2 yg berkualitas.",@RatnaKurniasari-x9r,8,2026-03-21T08:14:05Z,2026-03-21T08:14:05Z,0,True,UgzY0dDeSE6uPXpq5Tx4AaABAg,S4iey1sr1Cg,youtube
UgzY0dDeSE6uPXpq5Tx4AaABAg.AUaxsAK08atAUezG219VSk,ttg keracunan dah dengar . tp dia blng cuma 0.0001% aja,@Nixie_Sebong,2,2026-03-22T17:21:49Z,2026-03-22T17:21:49Z,0,True,UgzY0dDeSE6uPXpq5Tx4AaABAg,S4iey1sr1Cg,youtube
UgzY0dDeSE6uPXpq5Tx4AaABAg.AUaxsAK08atAUg3Qb2BwdN,​@Nixie_Sebong0.0000001  itu tetap nyawa seseorang dari jumlah penduduk indonesia yg 280jt jiwa😅,@ekadewi-u1l,0,2026-03-23T03:26:12Z,2026-03-23T03:26:12Z,0,True,UgzY0dDeSE6uPXpq5Tx4AaABAg,S4iey1sr1Cg,youtube
UgzY0dDeSE6uPXpq5Tx4AaABAg.AUaxsAK08atAUhRcIfumqt,"Kata wowo 0.00000001% , yang lain berjaya , sumpah kata wowo",@JAWA_HAM,0,2026-03-23T16:16:53Z,2026-03-23T16:16:53Z,0,True,UgzY0dDeSE6uPXpq5Tx4AaABAg,S4iey1sr1Cg,youtube
UgzefmrWyuK-YxHiVLl4AaABAg,"Masalah Indonesia cuma korupsi, 

Kalo koruptor dihukum mati + dimiskinkan  insyaallah jadi negara MAJU",@numbak7854,66,2026-03-23T03:44:57Z,2026-03-23T03:44:57Z,15,False,,S4iey1sr1Cg,youtube
UgzefmrWyuK-YxHiVLl4AaABAg.AUg5_-anMvOAUgXeaLQPKF,Lah itu ada yang memberantas korupsi aja rakyat masih aja kurang..siapapun presidennya tetap aja di mata yang salah mah salah...😅,@BoboAnimation-jl8fs,0,2026-03-23T07:50:23Z,2026-03-23T07:50:23Z,0,True,UgzefmrWyuK-YxHiVLl4AaABAg,S4iey1sr1Cg,youtube
UgzefmrWyuK-YxHiVLl4AaABAg.AUg5_-anMvOAUgcXLcits0,"​@BoboAnimation-jl8fslhaa itu ada yang sudah ditangkap, malah boleh jadi tahanan rumah 😂",@hwarakadah5963,5,2026-03-23T08:41:41Z,2026-03-23T08:41:41Z,0,True,UgzefmrWyuK-YxHiVLl4AaABAg,S4iey1sr1Cg,youtube
UgzefmrWyuK-YxHiVLl4AaABAg.AUg5_-anMvOAUgdPIKaRHz,"@BoboAnimation-jl8fs ingat, KEPALA BUSUK MULAI DARI KEPALA. kepalanya saja melakukan hal yang sama, dan justru bergaul akrab. nonsen korupsi diberantas",@Raventha,0,2026-03-23T08:49:20Z,2026-03-23T08:49:20Z,0,True,UgzefmrWyuK-YxHiVLl4AaABAg,S4iey1sr1Cg,youtube
