source,final_text,model,dominant_topic,dominant_topic_score
tiktok,setuju makan bergizi gratis distop?,lda,3,0.7316173707202387
tiktok,"susah presiden kritiknya, masyarakat tokoh nasional hentikan program makan bergizi gratis nya tuuk evaluasi",lda,4,0.5639430713076323
tiktok,hentikan mending dialihkan program beasiswa kuliah gratis,lda,3,0.8655374083462958
tiktok,kepala keras,lda,4,0.7333325999320902
tiktok,periode,lda,4,0.5999989115561176
tiktok,pikir makan bergizi gratis tdk korupsi,lda,4,0.7325710347924153
tiktok,baik pendidikan kesehatan gratis .,lda,1,0.8393109713892722
tiktok,"yakin, makan bergizi gratis bukan korupsi terstruktur?",lda,4,0.727696255698241
tiktok,"tulus bantu rakyat,, pendidikan gratis,,",lda,0,0.5488977934923315
tiktok,segitunya membela makan bergizi gratis presiden,lda,4,0.7322033592377954
tiktok,pikir makan bergizi gratis bersih korupsi?tolong dicek iya,lda,4,0.8397549043202108
tiktok,makan mulu pikiran sampean,lda,2,0.7964002232225006
tiktok,"pdahal bnyak masyarakat protes, tpi tidak denger",lda,1,0.47307535572685716
tiktok,"proyeknya beliau, tidak mungkin beliau menghentikan makan bergizi gratis",lda,1,0.630665289129998
tiktok,presiden gk d kritik,lda,4,0.7317953409141379
tiktok,mungkin beliau malu program nya gagal,lda,1,0.8373670290508882
tiktok,tidak sadar,lda,1,0.5999944469569148
tiktok,stop makan bergizi gratis,lda,0,0.5988358831311522
tiktok,stres mikiran pemerintah,lda,1,0.5972456604541335
tiktok,periode,lda,4,0.5999989115561176
tiktok,engak sadar,lda,1,0.5999944469569148
tiktok,angel.. angel,lda,3,0.733329587042676
tiktok,bosan..bosan.. pidato nya tidak nyata,lda,4,0.5965322510604255
tiktok,makan bergizi gratis khusus daerah t pak.. mgkn membutuhkan,lda,2,0.5504285904506129
tiktok,"serius, sbgtunya mempertahankan makan bergizi gratis ??",lda,0,0.4000701193767685
tiktok,"suka makan bergizi gratis, nya anak kebagian,, blt seumur tidak dapet",lda,2,0.8665218913474687
tiktok,"iya trus gmn,wacana sekolah daring hemat bbm,tapi kudu dtg sekolah ngesot gtu jemput makan bergizi gratis",lda,2,0.6731881399907039
tiktok,"disisi , guru gaji sekali.. miris jualan semoga rezeki arah",lda,1,0.3741834091887108
tiktok,gemoy bukan bertahan malu makan bergizi gratis berhenti. program gagal total.,lda,1,0.8831723252314752
tiktok,progam korupsi nya wowo,lda,4,0.4727267828831178
tiktok,"ape programnya tergantung orang orangnya cari selah korupsi, program anak anak semoga depannya smakin maju ananah sppg kedepannya",lda,1,0.3487374297345186
tiktok,udah lu maen fb ajah lol,lda,3,0.5253645859643787
tiktok,egois bego,lda,4,0.5990627686488741
tiktok,otoriternya,lda,0,0.2
tiktok,lanjutkan jangan hentikan,lda,4,0.6267561414402413
tiktok,hasil,lda,0,0.5999972573410961
tiktok,dia..apa kah gk paham iya,lda,2,0.8369900786288667
tiktok,botak lapor big bos senang sidak dadakan,lda,4,0.8388263346435946
tiktok,mungkin tau..,lda,2,0.5962438584947146
tiktok,isinya korupsi,lda,4,0.40042764425587757
tiktok,tidak ketangkap program nya makan bergizi gratis,lda,0,0.2
tiktok,ketangkep. liat yasika aulia,lda,0,0.2
tiktok,bermain dapur makan bergizi gratis parcok nu kiri,lda,4,0.3996706492494479
tiktok,"btl bang.klo gk beliau,kt gk tau,t'nyta beras kt oplosan,bensin oplosan,emas batangan oplosan,pln,pertamina mega korupsi kebongkar smw jaman ini! syg rkyt bnyk sdr,dg perjuangan beliau!",lda,1,0.6926421872932799
tiktok,mana? perkiraan kerugian buka dikorupsi kocak,lda,3,0.8366084085623374
tiktok,"saya, program makan bergizi gratis ladang basah koruptor.. dilapor apa, penerima apa.. dilapor rendang sapi, diterima target rebus..",lda,3,0.5469990076923578
tiktok,makan bergizi gratis kadang korupsi kkn,lda,4,0.7992386560204622
tiktok,"kocak lu, namanya program iya anak"" tumbuh sehat dulu, terkadang org memikirkan program pribadi inginkan, pondasinya",lda,3,0.5341696391960967
tiktok,duuh org tau tidak makan bergizi gratis d rumaku buang makanan nya kacang an buah jeruk hijau asem telor salak,lda,3,0.8986440056423248
tiktok,"iya tidak salah jga dana keluarkan program besar, syg mending program program teknologi biar maju negara",lda,0,0.6366127866564711
tiktok,teknologinya?.. bisa. kan. tujuan prabowo mencerdaskan anak bangsa kedepannya indonesia penuhi orang sehat cerdas. tidak instan.,lda,1,0.9462445116507086
tiktok,"anggaran makan bung, organisasi manapun konsumsi makan anggaranya gede, contoh budget juta nikahan juta makanan undangan hadir",lda,3,0.9100124261887447
tiktok,kayak kagak tau aje lu indonesia dana korup kpala daerahnya dana,lda,3,0.45781158926240384
tiktok,"lo literasi, desa lo sppg butuh karyawan membuka lapangan pekerjaan kan, sppg beli bahan"" masakan petani penjual ayam dll. otomatis membantu ekonomi, ekosistem ekonomi tidak cuman ngasih anak efeknya",lda,1,0.6261473484170907
tiktok,"prabowo bener orang baik beliau anak indonesia sehat cerdas ,, pertumbuhan bagus tidak kontet anak desa kebanyakan lambat pertumbuhan kontet umur tua",lda,1,0.7717078086379994
tiktok,keracunan,lda,3,0.599471838246947
tiktok,spill sehari makan . gua tidak gizi anak bagus..,lda,1,0.8820535524829062
tiktok,tumbuh sehat snack ribuan roti ribuan?,lda,3,0.8833555200626968
tiktok,"disuatu negara ntah negara kayaknya laneofdown wakil pemimpinya makan nya iya bergizi tidak pinter, rakyat a jwabanya z tidak nyambung",lda,0,0.6998601916436431
